Pokemon,Type,Species,Height,Weight,Abilities,Catch Rate,Base Exp,Growth Rate,Gender,HP Base,Attack Base,Defense Base,Special Attack Base,Special Defense Base,Speed Base
Appletun,"Grass, Dragon",Apple Nectar Pokémon,0.4 m (1′04″),13.0 kg (28.7 lbs),"1. Ripen, 2. Gluttony, Thick Fat (hidden ability)","45 (5.9% with PokéBall, full HP)",170,Erratic,"50% male, 50% female",110,85,80,100,80,30
Applin,"Grass, Dragon",Apple Core Pokémon,0.2 m (0′08″),0.5 kg (1.1 lbs),"1. Ripen, 2. Gluttony, Bulletproof (hidden ability)","255 (33.3% with PokéBall, full HP)",52,Erratic,"50% male, 50% female",40,40,80,40,40,20
Araquanid,"Water, Bug",Water Bubble Pokémon,1.8 m (5′11″),82.0 kg (180.8 lbs),"1. Water Bubble, Water Absorb (hidden ability)","100 (13.1% with PokéBall, full HP)",159,Medium Fast,"50% male, 50% female",68,70,92,50,132,42
Arbok,Poison,Cobra Pokémon,3.5 m (11′06″),65.0 kg (143.3 lbs),"1. Intimidate, 2. Shed Skin, Unnerve (hidden ability)","90 (11.8% with PokéBall, full HP)",157,Medium Fast,"50% male, 50% female",60,95,69,65,79,80
Arboliva,"Grass, Normal",Olive Pokémon,1.4 m (4′07″),48.2 kg (106.3 lbs),"1. Seed Sower, Harvest (hidden ability)","45 (5.9% with PokéBall, full HP)",255,Medium Slow,"50% male, 50% female",78,69,90,125,109,39
Arcanine,Fire,Legendary Pokémon,1.9 m (6′03″),155.0 kg (341.7 lbs),"1. Intimidate, 2. Flash Fire, Justified (hidden ability)","75 (9.8% with PokéBall, full HP)",194,Slow,"75% male, 25% female",90,110,80,100,80,95
Hisuian Arcanine,"Fire, Rock",Legendary Pokémon,2.0 m (6′07″),168.0 kg (370.4 lbs),"1. Intimidate, 2. Flash Fire, Rock Head (hidden ability)","75 (9.8% with PokéBall, full HP)",194,Slow,"75% male, 25% female",95,115,80,95,80,90
Arceus,Normal,Alpha Pokémon,3.2 m (10′06″),320.0 kg (705.5 lbs),1. Multitype,"3 (0.4% with PokéBall, full HP)",360,Slow,Genderless,120,120,120,120,120,120
Archaludon,"Steel, Dragon",Alloy Pokémon,2.0 m (6′07″),60.0 kg (132.3 lbs),"1. Stamina, 2. Sturdy, Stalwart (hidden ability)","10 (1.3% with PokéBall, full HP)",—,Medium Fast,"50% male, 50% female",90,105,130,125,65,85
Archen,"Rock, Flying",First Bird Pokémon,0.5 m (1′08″),9.5 kg (20.9 lbs),1. Defeatist,"45 (5.9% with PokéBall, full HP)",71,Medium Fast,"87.5% male, 12.5% female",55,112,45,74,45,70
Archeops,"Rock, Flying",First Bird Pokémon,1.4 m (4′07″),32.0 kg (70.5 lbs),1. Defeatist,"45 (5.9% with PokéBall, full HP)",177,Medium Fast,"87.5% male, 12.5% female",75,140,65,112,65,110
Arctibax,"Dragon, Ice",Ice Fin Pokémon,0.8 m (2′07″),30.0 kg (66.1 lbs),"1. Thermal Exchange, Ice Body (hidden ability)","25 (3.3% with PokéBall, full HP)",148,Slow,"50% male, 50% female",90,95,66,45,65,62
Arctovish,"Water, Ice",Fossil Pokémon,2.0 m (6′07″),175.0 kg (385.8 lbs),"1. Water Absorb, 2. Ice Body, Slush Rush (hidden ability)","45 (5.9% with PokéBall, full HP)",177,Slow,Genderless,90,90,100,80,90,55
Arctozolt,"Electric, Ice",Fossil Pokémon,2.3 m (7′07″),150.0 kg (330.7 lbs),"1. Volt Absorb, 2. Static, Slush Rush (hidden ability)","45 (5.9% with PokéBall, full HP)",177,Slow,Genderless,90,100,90,90,80,55
Ariados,"Bug, Poison",Long Leg Pokémon,1.1 m (3′07″),33.5 kg (73.9 lbs),"1. Swarm, 2. Insomnia, Sniper (hidden ability)","90 (11.8% with PokéBall, full HP)",140,Fast,"50% male, 50% female",70,90,70,60,70,40
Armaldo,"Rock, Bug",Plate Pokémon,1.5 m (4′11″),68.2 kg (150.4 lbs),"1. Battle Armor, Swift Swim (hidden ability)","45 (5.9% with PokéBall, full HP)",173,Erratic,"87.5% male, 12.5% female",75,125,100,70,80,45
Armarouge,"Fire, Psychic",Fire Warrior Pokémon,1.5 m (4′11″),85.0 kg (187.4 lbs),"1. Flash Fire, Weak Armor (hidden ability)","25 (3.3% with PokéBall, full HP)",263,Slow,"50% male, 50% female",85,60,100,125,80,75
Aromatisse,Fairy,Fragrance Pokémon,0.8 m (2′07″),15.5 kg (34.2 lbs),"1. Healer, Aroma Veil (hidden ability)","140 (18.3% with PokéBall, full HP)",162,Medium Fast,"50% male, 50% female",101,72,72,99,89,29
Aron,"Steel, Rock",Iron Armor Pokémon,0.4 m (1′04″),60.0 kg (132.3 lbs),"1. Sturdy, 2. Rock Head, Heavy Metal (hidden ability)","180 (23.5% with PokéBall, full HP)",66,Slow,"50% male, 50% female",50,70,100,40,40,30
Arrokuda,Water,Rush Pokémon,0.5 m (1′08″),1.0 kg (2.2 lbs),"1. Swift Swim, Propeller Tail (hidden ability)","255 (33.3% with PokéBall, full HP)",56,Slow,"50% male, 50% female",41,63,40,40,30,66
Articuno,"Ice, Flying",Freeze Pokémon,1.7 m (5′07″),55.4 kg (122.1 lbs),"1. Pressure, Snow Cloak (hidden ability)","3 (0.4% with PokéBall, full HP)",290,Slow,Genderless,90,85,100,95,125,85
Galarian Articuno,"Psychic, Flying",Cruel Pokémon,1.7 m (5′07″),50.9 kg (112.2 lbs),1. Competitive,"3 (0.4% with PokéBall, full HP)",290,Slow,Genderless,90,85,85,125,100,95
Audino,Normal,Hearing Pokémon,1.1 m (3′07″),31.0 kg (68.3 lbs),"1. Healer, 2. Regenerator, Klutz (hidden ability)","255 (33.3% with PokéBall, full HP)",390,Fast,"50% male, 50% female",103,60,86,60,86,50
Aurorus,"Rock, Ice",Tundra Pokémon,2.7 m (8′10″),225.0 kg (496.0 lbs),"1. Refrigerate, Snow Warning (hidden ability)","45 (5.9% with PokéBall, full HP)",104,Medium Fast,"87.5% male, 12.5% female",123,77,72,99,92,58
Avalugg,Ice,Iceberg Pokémon,2.0 m (6′07″),505.0 kg (1113.3 lbs),"1. Own Tempo, 2. Ice Body, Sturdy (hidden ability)","55 (7.2% with PokéBall, full HP)",180,Medium Fast,"50% male, 50% female",95,117,184,44,46,28
Hisuian Avalugg,"Ice, Rock",Iceberg Pokémon,1.4 m (4′07″),262.4 kg (578.5 lbs),"1. Strong Jaw, 2. Ice Body, Sturdy (hidden ability)","55 (7.2% with PokéBall, full HP)",180,Medium Fast,"50% male, 50% female",95,127,184,34,36,38
Axew,Dragon,Tusk Pokémon,0.6 m (2′00″),18.0 kg (39.7 lbs),"1. Rivalry, 2. Mold Breaker, Unnerve (hidden ability)","75 (9.8% with PokéBall, full HP)",64,Slow,"50% male, 50% female",46,87,60,30,40,57
Azelf,Psychic,Willpower Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),1. Levitate,"3 (0.4% with PokéBall, full HP)",290,Slow,Genderless,75,125,70,125,70,115
Azumarill,"Water, Fairy",Aqua Rabbit Pokémon,0.8 m (2′07″),28.5 kg (62.8 lbs),"1. Thick Fat, 2. Huge Power, Sap Sipper (hidden ability)","75 (9.8% with PokéBall, full HP)",210,Fast,"50% male, 50% female",100,50,80,60,80,50
Azurill,"Normal, Fairy",Polka Dot Pokémon,0.2 m (0′08″),2.0 kg (4.4 lbs),"1. Thick Fat, 2. Huge Power, Sap Sipper (hidden ability)","150 (19.6% with PokéBall, full HP)",38,Fast,"25% male, 75% female",50,20,40,20,40,20
Bagon,Dragon,Rock Head Pokémon,0.6 m (2′00″),42.1 kg (92.8 lbs),"1. Rock Head, Sheer Force (hidden ability)","45 (5.9% with PokéBall, full HP)",60,Slow,"50% male, 50% female",45,75,60,40,30,50
Baltoy,"Ground, Psychic",Clay Doll Pokémon,0.5 m (1′08″),21.5 kg (47.4 lbs),1. Levitate,"255 (33.3% with PokéBall, full HP)",60,Medium Fast,Genderless,40,40,55,40,70,55
Banette,Ghost,Marionette Pokémon,1.1 m (3′07″),12.5 kg (27.6 lbs),"1. Insomnia, 2. Frisk, Cursed Body (hidden ability)","45 (5.9% with PokéBall, full HP)",159,Fast,"50% male, 50% female",64,115,65,83,63,65
Barbaracle,"Rock, Water",Collective Pokémon,1.3 m (4′03″),96.0 kg (211.6 lbs),"1. Sniper, 2. Tough Claws, Pickpocket (hidden ability)","45 (5.9% with PokéBall, full HP)",175,Medium Fast,"50% male, 50% female",72,105,115,54,86,68
Barboach,"Water, Ground",Whiskers Pokémon,0.4 m (1′04″),1.9 kg (4.2 lbs),"1. Oblivious, 2. Anticipation, Hydration (hidden ability)","190 (24.8% with PokéBall, full HP)",58,Medium Fast,"50% male, 50% female",50,48,43,46,41,60
Barraskewda,Water,Skewer Pokémon,1.3 m (4′03″),30.0 kg (66.1 lbs),"1. Swift Swim, Propeller Tail (hidden ability)","60 (7.8% with PokéBall, full HP)",172,Slow,"50% male, 50% female",61,123,60,60,50,136
Basculegion Male,"Water, Ghost",Big Fish Pokémon,3.0 m (9′10″),110.0 kg (242.5 lbs),"1. Swift Swim, 2. Adaptability, Mold Breaker (hidden ability)","45 (5.9% with PokéBall, full HP)",265,Medium Fast,"100% male, 0% female",120,112,65,80,75,78
Basculegion Female,"Water, Ghost",Big Fish Pokémon,3.0 m (9′10″),110.0 kg (242.5 lbs),"1. Swift Swim, 2. Adaptability, Mold Breaker (hidden ability)","45 (5.9% with PokéBall, full HP)",265,Medium Fast,"0% male, 100% female",120,92,65,100,75,78
Basculin Red-Striped Form,Water,Hostile Pokémon,1.0 m (3′03″),18.0 kg (39.7 lbs),"1. Reckless, 2. Adaptability, Mold Breaker (hidden ability)","25 (3.3% with PokéBall, full HP)",161,Medium Fast,"50% male, 50% female",70,92,65,80,55,98
Basculin Blue-Striped Form,Water,Hostile Pokémon,1.0 m (3′03″),18.0 kg (39.7 lbs),"1. Rock Head, 2. Adaptability, Mold Breaker (hidden ability)","25 (3.3% with PokéBall, full HP)",161,Medium Fast,"50% male, 50% female",70,92,65,80,55,98
Basculin White-Striped Form,Water,Mellow Pokémon,1.0 m (3′03″),18.0 kg (39.7 lbs),"1. Rattled, 2. Adaptability, Mold Breaker (hidden ability)","25 (3.3% with PokéBall, full HP)",161,Medium Fast,"50% male, 50% female",70,92,65,80,55,98
Bastiodon,"Rock, Steel",Shield Pokémon,1.3 m (4′03″),149.5 kg (329.6 lbs),"1. Sturdy, Soundproof (hidden ability)","45 (5.9% with PokéBall, full HP)",173,Erratic,"87.5% male, 12.5% female",60,52,168,47,138,30
Baxcalibur,"Dragon, Ice",Ice Dragon Pokémon,2.1 m (6′11″),210.0 kg (463.0 lbs),"1. Thermal Exchange, Ice Body (hidden ability)","10 (1.3% with PokéBall, full HP)",300,Slow,"50% male, 50% female",115,145,92,75,86,87
Bayleef,Grass,Leaf Pokémon,1.2 m (3′11″),15.8 kg (34.8 lbs),"1. Overgrow, Leaf Guard (hidden ability)","45 (5.9% with PokéBall, full HP)",142,Medium Slow,"87.5% male, 12.5% female",60,62,80,63,80,60
Beartic,Ice,Freezing Pokémon,2.6 m (8′06″),260.0 kg (573.2 lbs),"1. Snow Cloak, 2. Slush Rush, Swift Swim (hidden ability)","60 (7.8% with PokéBall, full HP)",177,Medium Fast,"50% male, 50% female",95,130,80,70,80,50
Beautifly,"Bug, Flying",Butterfly Pokémon,1.0 m (3′03″),28.4 kg (62.6 lbs),"1. Swarm, Rivalry (hidden ability)","45 (5.9% with PokéBall, full HP)",178,Medium Fast,"50% male, 50% female",60,70,50,100,50,65
Beedrill,"Bug, Poison",Poison Bee Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),"1. Swarm, Sniper (hidden ability)","45 (5.9% with PokéBall, full HP)",178,Medium Fast,"50% male, 50% female",65,90,40,45,80,75
Beheeyem,Psychic,Cerebral Pokémon,1.0 m (3′03″),34.5 kg (76.1 lbs),"1. Telepathy, 2. Synchronize, Analytic (hidden ability)","90 (11.8% with PokéBall, full HP)",170,Medium Fast,"50% male, 50% female",75,75,75,125,95,40
Beldum,"Steel, Psychic",Iron Ball Pokémon,0.6 m (2′00″),95.2 kg (209.9 lbs),"1. Clear Body, Light Metal (hidden ability)","3 (0.4% with PokéBall, full HP)",60,Slow,Genderless,40,55,80,35,60,30
Bellibolt,Electric,EleFrog Pokémon,1.2 m (3′11″),113.0 kg (249.1 lbs),"1. Electromorphosis, 2. Static, Damp (hidden ability)","50 (6.5% with PokéBall, full HP)",173,Medium Fast,"50% male, 50% female",109,64,91,103,83,45
Bellossom,Grass,Flower Pokémon,0.4 m (1′04″),5.8 kg (12.8 lbs),"1. Chlorophyll, Healer (hidden ability)","45 (5.9% with PokéBall, full HP)",221,Medium Slow,"50% male, 50% female",75,80,95,90,100,50
Bellsprout,"Grass, Poison",Flower Pokémon,0.7 m (2′04″),4.0 kg (8.8 lbs),"1. Chlorophyll, Gluttony (hidden ability)","255 (33.3% with PokéBall, full HP)",60,Medium Slow,"50% male, 50% female",50,75,35,70,30,40
Bergmite,Ice,Ice Chunk Pokémon,1.0 m (3′03″),99.5 kg (219.4 lbs),"1. Own Tempo, 2. Ice Body, Sturdy (hidden ability)","190 (24.8% with PokéBall, full HP)",61,Medium Fast,"50% male, 50% female",55,69,85,32,35,28
Bewear,"Normal, Fighting",Strong Arm Pokémon,2.1 m (6′11″),135.0 kg (297.6 lbs),"1. Fluffy, 2. Klutz, Unnerve (hidden ability)","70 (9.1% with PokéBall, full HP)",175,Medium Fast,"50% male, 50% female",120,125,80,55,60,60
Bibarel,"Normal, Water",Beaver Pokémon,1.0 m (3′03″),31.5 kg (69.4 lbs),"1. Simple, 2. Unaware, Moody (hidden ability)","127 (16.6% with PokéBall, full HP)",144,Medium Fast,"50% male, 50% female",79,85,60,55,60,71
Bidoof,Normal,Plump Mouse Pokémon,0.5 m (1′08″),20.0 kg (44.1 lbs),"1. Simple, 2. Unaware, Moody (hidden ability)","255 (33.3% with PokéBall, full HP)",50,Medium Fast,"50% male, 50% female",59,45,40,35,40,31
Binacle,"Rock, Water",Two-Handed Pokémon,0.5 m (1′08″),31.0 kg (68.3 lbs),"1. Sniper, 2. Tough Claws, Pickpocket (hidden ability)","120 (15.7% with PokéBall, full HP)",61,Medium Fast,"50% male, 50% female",42,52,67,39,56,50
Bisharp,"Dark, Steel",Sword Blade Pokémon,1.6 m (5′03″),70.0 kg (154.3 lbs),"1. Defiant, 2. Inner Focus, Pressure (hidden ability)","45 (5.9% with PokéBall, full HP)",172,Medium Fast,"50% male, 50% female",65,125,100,60,70,70
Blacephalon,"Fire, Ghost",Fireworks Pokémon,1.8 m (5′11″),13.0 kg (28.7 lbs),1. Beast Boost,"30 (3.9% with PokéBall, full HP)",257,Slow,Genderless,53,127,53,151,79,107
Blastoise,Water,Shellfish Pokémon,1.6 m (5′03″),85.5 kg (188.5 lbs),"1. Torrent, Rain Dish (hidden ability)","45 (5.9% with PokéBall, full HP)",239,Medium Slow,"87.5% male, 12.5% female",79,83,100,85,105,78
Blaziken,"Fire, Fighting",Blaze Pokémon,1.9 m (6′03″),52.0 kg (114.6 lbs),"1. Blaze, Speed Boost (hidden ability)","45 (5.9% with PokéBall, full HP)",239,Medium Slow,"87.5% male, 12.5% female",80,120,70,110,70,80
Blipbug,Bug,Larva Pokémon,0.4 m (1′04″),8.0 kg (17.6 lbs),"1. Swarm, 2. Compound Eyes, Telepathy (hidden ability)","255 (33.3% with PokéBall, full HP)",36,Medium Fast,"50% male, 50% female",25,20,20,25,45,45
Blissey,Normal,Happiness Pokémon,1.5 m (4′11″),46.8 kg (103.2 lbs),"1. Natural Cure, 2. Serene Grace, Healer (hidden ability)","30 (3.9% with PokéBall, full HP)",635,Fast,"0% male, 100% female",255,10,10,75,135,55
Blitzle,Electric,Electrified Pokémon,0.8 m (2′07″),29.8 kg (65.7 lbs),"1. Lightning Rod, 2. Motor Drive, Sap Sipper (hidden ability)","190 (24.8% with PokéBall, full HP)",59,Medium Fast,"50% male, 50% female",45,60,32,50,32,76
Boldore,Rock,Ore Pokémon,0.9 m (2′11″),102.0 kg (224.9 lbs),"1. Sturdy, 2. Weak Armor, Sand Force (hidden ability)","120 (15.7% with PokéBall, full HP)",137,Medium Slow,"50% male, 50% female",70,105,105,50,40,20
Boltund,Electric,Dog Pokémon,1.0 m (3′03″),34.0 kg (75.0 lbs),"1. Strong Jaw, Competitive (hidden ability)","45 (5.9% with PokéBall, full HP)",172,Fast,"50% male, 50% female",69,90,60,90,60,121
Bombirdier,"Flying, Dark",Item Drop Pokémon,1.5 m (4′11″),42.9 kg (94.6 lbs),"1. Big Pecks, 2. Keen Eye, Rocky Payload (hidden ability)","25 (3.3% with PokéBall, full HP)",243,Slow,"50% male, 50% female",70,103,85,60,85,82
Bonsly,Rock,Bonsai Pokémon,0.5 m (1′08″),15.0 kg (33.1 lbs),"1. Sturdy, 2. Rock Head, Rattled (hidden ability)","255 (33.3% with PokéBall, full HP)",58,Medium Fast,"50% male, 50% female",50,80,95,10,45,10
Bouffalant,Normal,Bash Buffalo Pokémon,1.6 m (5′03″),94.6 kg (208.6 lbs),"1. Reckless, 2. Sap Sipper, Soundproof (hidden ability)","45 (5.9% with PokéBall, full HP)",172,Medium Fast,"50% male, 50% female",95,110,95,40,95,55
Bounsweet,Grass,Fruit Pokémon,0.3 m (1′00″),3.2 kg (7.1 lbs),"1. Leaf Guard, 2. Oblivious, Sweet Veil (hidden ability)","235 (30.7% with PokéBall, full HP)",42,Medium Slow,"0% male, 100% female",42,30,38,30,38,32
Braixen,Fire,Fox Pokémon,1.0 m (3′03″),14.5 kg (32.0 lbs),"1. Blaze, Magician (hidden ability)","45 (5.9% with PokéBall, full HP)",143,Medium Slow,"87.5% male, 12.5% female",59,59,58,90,70,73
Brambleghast,"Grass, Ghost",Tumbleweed Pokémon,1.2 m (3′11″),6.0 kg (13.2 lbs),"1. Wind Rider, Infiltrator (hidden ability)","45 (5.9% with PokéBall, full HP)",168,Medium Fast,"50% male, 50% female",55,115,70,80,70,90
Bramblin,"Grass, Ghost",Tumbleweed Pokémon,0.6 m (2′00″),0.6 kg (1.3 lbs),"1. Wind Rider, Infiltrator (hidden ability)","190 (24.8% with PokéBall, full HP)",55,Medium Fast,"50% male, 50% female",40,65,30,45,35,60
Braviary,"Normal, Flying",Valiant Pokémon,1.5 m (4′11″),41.0 kg (90.4 lbs),"1. Keen Eye, 2. Sheer Force, Defiant (hidden ability)","60 (7.8% with PokéBall, full HP)",179,Slow,"100% male, 0% female",100,123,75,57,75,80
Hisuian Braviary,"Psychic, Flying",Battle Cry Pokémon,1.7 m (5′07″),43.4 kg (95.7 lbs),"1. Keen Eye, 2. Sheer Force, Tinted Lens (hidden ability)","60 (7.8% with PokéBall, full HP)",179,Slow,"100% male, 0% female",110,83,70,112,70,65
Breloom,"Grass, Fighting",Mushroom Pokémon,1.2 m (3′11″),39.2 kg (86.4 lbs),"1. Effect Spore, 2. Poison Heal, Technician (hidden ability)","90 (11.8% with PokéBall, full HP)",161,Fluctuating,"50% male, 50% female",60,130,80,60,60,70
Brionne,Water,Pop Star Pokémon,0.6 m (2′00″),17.5 kg (38.6 lbs),"1. Torrent, Liquid Voice (hidden ability)","45 (5.9% with PokéBall, full HP)",147,Medium Slow,"87.5% male, 12.5% female",60,69,69,91,81,50
Bronzong,"Steel, Psychic",Bronze Bell Pokémon,1.3 m (4′03″),187.0 kg (412.3 lbs),"1. Levitate, 2. Heatproof, Heavy Metal (hidden ability)","90 (11.8% with PokéBall, full HP)",175,Medium Fast,Genderless,67,89,116,79,116,33
Bronzor,"Steel, Psychic",Bronze Pokémon,0.5 m (1′08″),60.5 kg (133.4 lbs),"1. Levitate, 2. Heatproof, Heavy Metal (hidden ability)","255 (33.3% with PokéBall, full HP)",60,Medium Fast,Genderless,57,24,86,24,86,23
Brute Bonnet,"Grass, Dark",Paradox Pokémon,1.2 m (3′11″),21.0 kg (46.3 lbs),1. Protosynthesis,"50 (6.5% with PokéBall, full HP)",285,Slow,Genderless,111,127,99,79,99,55
Bruxish,"Water, Psychic",Gnash Teeth Pokémon,0.9 m (2′11″),19.0 kg (41.9 lbs),"1. Dazzling, 2. Strong Jaw, Wonder Skin (hidden ability)","80 (10.5% with PokéBall, full HP)",166,Medium Fast,"50% male, 50% female",68,105,70,70,70,92
Budew,"Grass, Poison",Bud Pokémon,0.2 m (0′08″),1.2 kg (2.6 lbs),"1. Natural Cure, 2. Poison Point, Leaf Guard (hidden ability)","255 (33.3% with PokéBall, full HP)",56,Medium Slow,"50% male, 50% female",40,30,35,50,70,55
Buizel,Water,Sea Weasel Pokémon,0.7 m (2′04″),29.5 kg (65.0 lbs),"1. Swift Swim, Water Veil (hidden ability)","190 (24.8% with PokéBall, full HP)",66,Medium Fast,"50% male, 50% female",55,65,35,60,30,85
Bulbasaur,"Grass, Poison",Seed Pokémon,0.7 m (2′04″),6.9 kg (15.2 lbs),"1. Overgrow, Chlorophyll (hidden ability)","45 (5.9% with PokéBall, full HP)",64,Medium Slow,"87.5% male, 12.5% female",45,49,49,65,65,45
Buneary,Normal,Rabbit Pokémon,0.4 m (1′04″),5.5 kg (12.1 lbs),"1. Run Away, 2. Klutz, Limber (hidden ability)","190 (24.8% with PokéBall, full HP)",70,Medium Fast,"50% male, 50% female",55,66,44,44,56,85
Bunnelby,Normal,Digging Pokémon,0.4 m (1′04″),5.0 kg (11.0 lbs),"1. Pickup, 2. Cheek Pouch, Huge Power (hidden ability)","255 (33.3% with PokéBall, full HP)",47,Medium Fast,"50% male, 50% female",38,36,38,32,36,57
Burmy Plant Cloak,Bug,Bagworm Pokémon,0.2 m (0′08″),3.4 kg (7.5 lbs),"1. Shed Skin, Overcoat (hidden ability)","120 (15.7% with PokéBall, full HP)",45,Medium Fast,"50% male, 50% female",40,29,45,29,45,36
Burmy Sandy Cloak,Bug,Bagworm Pokémon,0.2 m (0′08″),3.4 kg (7.5 lbs),"1. Shed Skin, Overcoat (hidden ability)","120 (15.7% with PokéBall, full HP)",45,Medium Fast,"50% male, 50% female",40,29,45,29,45,36
Burmy Trash Cloak,Bug,Bagworm Pokémon,0.2 m (0′08″),3.4 kg (7.5 lbs),"1. Shed Skin, Overcoat (hidden ability)","120 (15.7% with PokéBall, full HP)",45,Medium Fast,"50% male, 50% female",40,29,45,29,45,36
Butterfree,"Bug, Flying",Butterfly Pokémon,1.1 m (3′07″),32.0 kg (70.5 lbs),"1. Compound Eyes, Tinted Lens (hidden ability)","45 (5.9% with PokéBall, full HP)",178,Medium Fast,"50% male, 50% female",60,45,50,90,80,70
Buzzwole,"Bug, Fighting",Swollen Pokémon,2.4 m (7′10″),333.6 kg (735.5 lbs),1. Beast Boost,"45 (5.9% with PokéBall, full HP)",257,Slow,Genderless,107,139,139,53,53,79
