Num,Name,Type1,Type2,GenderRatio (M),GenderRatio (F),BaseStats (HP),BaseStats (Atk),BaseStats (Def),BaseStats (Spa),BaseStats (Spd),BaseStats (Spe),Abilities,Height (m),Weight (kg),Color,Prevo,EvoLevel,Evos
25,Pikachu,Electric,null,0.5,0.5,35,55,40,50,50,90,0: Static H: Lightning Rod,0.4,6,Yellow,Pichu,Base,Raichu
26,Raichu,Electric,null,0.5,0.5,60,90,55,90,80,110,0: Static H: Lightning Rod,0.8,30,Yellow,Pikachu,Base,None
26,Raichu-Alola,Electric,Psychic,0.5,0.5,60,85,50,95,85,110,0: Surge Surfer,0.7,21,Brown,Pikachu,Base,None
27,Sandshrew,Ground,null,0.5,0.5,50,75,85,20,30,40,0: Sand Veil H: Sand Rush,0.6,12,Yellow,None,Base,Sandslash
27,Sandshrew-Alola,Ice,Steel,0.5,0.5,50,75,90,10,35,40,0: Snow Cloak H: Slush Rush,0.7,40,White,None,Base,Sandslash-Alola
28,Sandslash,Ground,null,0.5,0.5,75,100,110,45,55,65,0: Sand Veil H: Sand Rush,1,29.5,Yellow,Sandshrew,22,None
28,Sandslash-Alola,Ice,Steel,0.5,0.5,75,100,120,25,65,65,0: Snow Cloak H: Slush Rush,1.2,55,Blue,Sandshrew-Alola,Base,None
29,Nidoran-F,Poison,null,0.5,0.5,55,47,52,40,40,41,0: Poison Point 1: Rivalry H: Hustle,0.4,7,Blue,None,Base,Nidorina
30,Nidorina,Poison,null,0.5,0.5,70,62,67,55,55,56,0: Poison Point 1: Rivalry H: Hustle,0.8,20,Blue,Nidoran-F,16,Nidoqueen
31,Nidoqueen,Poison,Ground,0.5,0.5,90,92,87,75,85,76,0: Poison Point 1: Rivalry H: Sheer Force,1.3,60,Blue,Nidorina,Base,None
32,Nidoran-M,Poison,null,0.5,0.5,46,57,40,40,40,50,0: Poison Point 1: Rivalry H: Hustle,0.5,9,Purple,None,Base,Nidorino
33,Nidorino,Poison,null,0.5,0.5,61,72,57,55,55,65,0: Poison Point 1: Rivalry H: Hustle,0.9,19.5,Purple,Nidoran-M,16,Nidoking
34,Nidoking,Poison,Ground,0.5,0.5,81,102,77,85,75,85,0: Poison Point 1: Rivalry H: Sheer Force,1.4,62,Purple,Nidorino,Base,None
35,Clefairy,Fairy,null,0.25,0.75,70,45,48,60,65,35,0: Cute Charm 1: Magic Guard H: Friend Guard,0.6,7.5,Pink,Cleffa,Base,Clefable
36,Clefable,Fairy,null,0.25,0.75,95,70,73,95,90,60,0: Cute Charm 1: Magic Guard H: Unaware,1.3,40,Pink,Clefairy,Base,None
37,Vulpix,Fire,null,0.25,0.75,38,41,40,50,65,65,0: Flash Fire H: Drought,0.6,9.9,Brown,None,Base,Ninetales
37,Vulpix-Alola,Ice,null,0.25,0.75,38,41,40,50,65,65,0: Snow Cloak H: Snow Warning,0.6,9.9,White,None,Base,Ninetales-Alola
38,Ninetales,Fire,null,0.25,0.75,73,76,75,81,100,100,0: Flash Fire H: Drought,1.1,19.9,Yellow,Vulpix,Base,None
38,Ninetales-Alola,Ice,Fairy,0.25,0.75,73,67,75,81,100,109,0: Snow Cloak H: Snow Warning,1.1,19.9,Blue,Vulpix-Alola,Base,None
39,Jigglypuff,Normal,Fairy,0.25,0.75,115,45,20,45,25,20,0: Cute Charm 1: Competitive H: Friend Guard,0.5,5.5,Pink,Igglybuff,Base,Wigglytuff
40,Wigglytuff,Normal,Fairy,0.25,0.75,140,70,45,85,50,45,0: Cute Charm 1: Competitive H: Frisk,1,12,Pink,Jigglypuff,Base,None
41,Zubat,Poison,Flying,0.5,0.5,40,45,35,30,40,55,0: Inner Focus H: Infiltrator,0.8,7.5,Purple,None,Base,Golbat
42,Golbat,Poison,Flying,0.5,0.5,75,80,70,65,75,90,0: Inner Focus H: Infiltrator,1.6,55,Purple,Zubat,22,Crobat
43,Oddish,Grass,Poison,0.5,0.5,45,50,55,75,65,30,0: Chlorophyll H: Run Away,0.5,5.4,Blue,None,Base,Gloom
44,Gloom,Grass,Poison,0.5,0.5,60,65,70,85,75,40,0: Chlorophyll H: Stench,0.8,8.6,Blue,Oddish,21,Vileplume
45,Vileplume,Grass,Poison,0.5,0.5,75,80,85,110,90,50,0: Chlorophyll H: Effect Spore,1.2,18.6,Red,Gloom,Base,None
46,Paras,Bug,Grass,0.5,0.5,35,70,55,45,55,25,0: Effect Spore 1: Dry Skin H: Damp,0.3,5.4,Red,None,Base,Parasect
47,Parasect,Bug,Grass,0.5,0.5,60,95,80,60,80,30,0: Effect Spore 1: Dry Skin H: Damp,1,29.5,Red,Paras,24,None
48,Venonat,Bug,Poison,0.5,0.5,60,55,50,40,55,45,0: Compound Eyes 1: Tinted Lens H: Run Away,1,30,Purple,None,Base,Venomoth
49,Venomoth,Bug,Poison,0.5,0.5,70,65,60,90,75,90,0: Shield Dust 1: Tinted Lens H: Wonder Skin,1.5,12.5,Purple,Venonat,31,None
50,Diglett,Ground,null,0.5,0.5,10,55,25,35,45,95,0: Sand Veil 1: Arena Trap H: Sand Force,0.2,0.8,Brown,None,Base,Dugtrio
50,Diglett-Alola,Ground,Steel,0.5,0.5,10,55,30,35,45,90,0: Sand Veil 1: Tangling Hair H: Sand Force,0.2,1,Brown,None,Base,Dugtrio-Alola
51,Dugtrio,Ground,null,0.5,0.5,35,100,50,50,70,120,0: Sand Veil 1: Arena Trap H: Sand Force,0.7,33.3,Brown,Diglett,26,None
51,Dugtrio-Alola,Ground,Steel,0.5,0.5,35,100,60,50,70,110,0: Sand Veil 1: Tangling Hair H: Sand Force,0.7,66.6,Brown,Diglett-Alola,26,None
52,Meowth,Normal,null,0.5,0.5,40,45,35,40,40,90,0: Pickup 1: Technician H: Unnerve,0.4,4.2,Yellow,None,Base,Persian
52,Meowth-Alola,Dark,null,0.5,0.5,40,35,35,50,40,90,0: Pickup 1: Technician H: Rattled,0.4,4.2,Blue,None,Base,Persian-Alola
52,Meowth-Galar,Steel,null,0.5,0.5,50,65,55,40,40,40,0: Pickup 1: Tough Claws H: Unnerve,0.4,7.5,Brown,None,Base,Perrserker
53,Persian,Normal,null,0.5,0.5,65,70,60,65,65,115,0: Limber 1: Technician H: Unnerve,1,32,Yellow,Meowth,28,None
53,Persian-Alola,Dark,null,0.5,0.5,65,60,60,75,65,115,0: Fur Coat 1: Technician H: Rattled,1.1,33,Blue,Meowth-Alola,Base,None
54,Psyduck,Water,null,0.5,0.5,50,52,48,65,50,55,0: Damp 1: Cloud Nine H: Swift Swim,0.8,19.6,Yellow,None,Base,Golduck
55,Golduck,Water,null,0.5,0.5,80,82,78,95,80,85,0: Damp 1: Cloud Nine H: Swift Swim,1.7,76.6,Blue,Psyduck,33,None
56,Mankey,Fighting,null,0.5,0.5,40,80,35,35,45,70,0: Vital Spirit 1: Anger Point H: Defiant,0.5,28,Brown,None,Base,Primeape
57,Primeape,Fighting,null,0.5,0.5,65,105,60,60,70,95,0: Vital Spirit 1: Anger Point H: Defiant,1,32,Brown,Mankey,28,Annihilape
58,Growlithe,Fire,null,0.75,0.25,55,70,45,70,50,60,0: Intimidate 1: Flash Fire H: Justified,0.7,19,Brown,None,Base,Arcanine
58,Growlithe-Hisui,Fire,Rock,0.75,0.25,60,75,45,65,50,55,0: Intimidate 1: Flash Fire H: Rock Head,0.8,22.7,Brown,None,Base,Arcanine-Hisui
59,Arcanine,Fire,null,0.75,0.25,90,110,80,100,80,95,0: Intimidate 1: Flash Fire H: Justified,1.9,155,Brown,Growlithe,Base,None
59,Arcanine-Hisui,Fire,Rock,0.75,0.25,95,115,80,95,80,90,0: Intimidate 1: Flash Fire H: Rock Head,2,168,Brown,Growlithe-Hisui,Base,None
60,Poliwag,Water,null,0.5,0.5,40,50,40,40,40,90,0: Water Absorb 1: Damp H: Swift Swim,0.6,12.4,Blue,None,Base,Poliwhirl
61,Poliwhirl,Water,null,0.5,0.5,65,65,65,50,50,90,0: Water Absorb 1: Damp H: Swift Swim,1,20,Blue,Poliwag,25,Poliwrath
62,Poliwrath,Water,Fighting,0.5,0.5,90,95,95,70,90,70,0: Water Absorb 1: Damp H: Swift Swim,1.3,54,Blue,Poliwhirl,Base,None
63,Abra,Psychic,null,0.75,0.25,25,20,15,105,55,90,0: Synchronize 1: Inner Focus H: Magic Guard,0.9,19.5,Brown,None,Base,Kadabra
64,Kadabra,Psychic,null,0.75,0.25,40,35,30,120,70,105,0: Synchronize 1: Inner Focus H: Magic Guard,1.3,56.5,Brown,Abra,16,Alakazam
65,Alakazam,Psychic,null,0.75,0.25,55,50,45,135,95,120,0: Synchronize 1: Inner Focus H: Magic Guard,1.5,48,Brown,Kadabra,Base,None
66,Machop,Fighting,null,0.75,0.25,70,80,50,35,35,35,0: Guts 1: No Guard H: Steadfast,0.8,19.5,Gray,None,Base,Machoke
67,Machoke,Fighting,null,0.75,0.25,80,100,70,50,60,45,0: Guts 1: No Guard H: Steadfast,1.5,70.5,Gray,Machop,28,Machamp
68,Machamp,Fighting,null,0.75,0.25,90,130,80,65,85,55,0: Guts 1: No Guard H: Steadfast,1.6,130,Gray,Machoke,Base,None
69,Bellsprout,Grass,Poison,0.5,0.5,50,75,35,70,30,40,0: Chlorophyll H: Gluttony,0.7,4,Green,None,Base,Weepinbell
70,Weepinbell,Grass,Poison,0.5,0.5,65,90,50,85,45,55,0: Chlorophyll H: Gluttony,1,6.4,Green,Bellsprout,21,Victreebel
71,Victreebel,Grass,Poison,0.5,0.5,80,105,65,100,70,70,0: Chlorophyll H: Gluttony,1.7,15.5,Green,Weepinbell,Base,None
72,Tentacool,Water,Poison,0.5,0.5,40,40,35,50,100,70,0: Clear Body 1: Liquid Ooze H: Rain Dish,0.9,45.5,Blue,None,Base,Tentacruel
73,Tentacruel,Water,Poison,0.5,0.5,80,70,65,80,120,100,0: Clear Body 1: Liquid Ooze H: Rain Dish,1.6,55,Blue,Tentacool,30,None
74,Geodude,Rock,Ground,0.5,0.5,40,80,100,30,30,20,0: Rock Head 1: Sturdy H: Sand Veil,0.4,20,Brown,None,Base,Graveler
74,Geodude-Alola,Rock,Electric,0.5,0.5,40,80,100,30,30,20,0: Magnet Pull 1: Sturdy H: Galvanize,0.4,20.3,Gray,None,Base,Graveler-Alola
75,Graveler,Rock,Ground,0.5,0.5,55,95,115,45,45,35,0: Rock Head 1: Sturdy H: Sand Veil,1,105,Brown,Geodude,25,Golem
75,Graveler-Alola,Rock,Electric,0.5,0.5,55,95,115,45,45,35,0: Magnet Pull 1: Sturdy H: Galvanize,1,110,Gray,Geodude-Alola,25,Golem-Alola
76,Golem,Rock,Ground,0.5,0.5,80,120,130,55,65,45,0: Rock Head 1: Sturdy H: Sand Veil,1.4,300,Brown,Graveler,Base,None
76,Golem-Alola,Rock,Electric,0.5,0.5,80,120,130,55,65,45,0: Magnet Pull 1: Sturdy H: Galvanize,1.7,316,Gray,Graveler-Alola,Base,None
77,Ponyta,Fire,null,0.5,0.5,50,85,55,65,65,90,0: Run Away 1: Flash Fire H: Flame Body,1,30,Yellow,None,Base,Rapidash
77,Ponyta-Galar,Psychic,null,0.5,0.5,50,85,55,65,65,90,0: Run Away 1: Pastel Veil H: Anticipation,0.8,24,White,None,Base,Rapidash-Galar
78,Rapidash,Fire,null,0.5,0.5,65,100,70,80,80,105,0: Run Away 1: Flash Fire H: Flame Body,1.7,95,Yellow,Ponyta,40,None
78,Rapidash-Galar,Psychic,Fairy,0.5,0.5,65,100,70,80,80,105,0: Run Away 1: Pastel Veil H: Anticipation,1.7,80,White,Ponyta-Galar,40,None
79,Slowpoke,Water,Psychic,0.5,0.5,90,65,65,40,40,15,0: Oblivious 1: Own Tempo H: Regenerator,1.2,36,Pink,None,Base,Slowbro
79,Slowpoke-Galar,Psychic,null,0.5,0.5,90,65,65,40,40,15,0: Gluttony 1: Own Tempo H: Regenerator,1.2,36,Pink,None,Base,Slowbro-Galar
80,Slowbro,Water,Psychic,0.5,0.5,95,75,110,100,80,30,0: Oblivious 1: Own Tempo H: Regenerator,1.6,78.5,Pink,Slowpoke,37,None
80,Slowbro-Galar,Poison,Psychic,0.5,0.5,95,100,95,100,70,30,0: Quick Draw 1: Own Tempo H: Regenerator,1.6,70.5,Pink,Slowpoke-Galar,Base,None
81,Magnemite,Electric,Steel,0.5,0.5,25,35,70,95,55,45,0: Magnet Pull 1: Sturdy H: Analytic,0.3,6,Gray,None,Base,Magneton
82,Magneton,Electric,Steel,0.5,0.5,50,60,95,120,70,70,0: Magnet Pull 1: Sturdy H: Analytic,1,60,Gray,Magnemite,30,Magnezone
83,Farfetch\u2019d,Normal,Flying,0.5,0.5,52,90,55,58,62,60,0: Keen Eye 1: Inner Focus H: Defiant,0.8,15,Brown,None,Base,None
83,Farfetch\u2019d-Galar,Fighting,null,0.5,0.5,52,95,55,58,62,55,0: Steadfast H: Scrappy,0.8,42,Brown,None,Base,Sirfetch\u2019d
84,Doduo,Normal,Flying,0.5,0.5,35,85,45,35,35,75,0: Run Away 1: Early Bird H: Tangled Feet,1.4,39.2,Brown,None,Base,Dodrio
85,Dodrio,Normal,Flying,0.5,0.5,60,110,70,60,60,110,0: Run Away 1: Early Bird H: Tangled Feet,1.8,85.2,Brown,Doduo,31,None
86,Seel,Water,null,0.5,0.5,65,45,55,45,70,45,0: Thick Fat 1: Hydration H: Ice Body,1.1,90,White,None,Base,Dewgong
87,Dewgong,Water,Ice,0.5,0.5,90,70,80,70,95,70,0: Thick Fat 1: Hydration H: Ice Body,1.7,120,White,Seel,34,None
88,Grimer,Poison,null,0.5,0.5,80,80,50,40,50,25,0: Stench 1: Sticky Hold H: Poison Touch,0.9,30,Purple,None,Base,Muk
88,Grimer-Alola,Poison,Dark,0.5,0.5,80,80,50,40,50,25,0: Poison Touch 1: Gluttony H: Power of Alchemy,0.7,42,Green,None,Base,Muk-Alola
89,Muk,Poison,null,0.5,0.5,105,105,75,65,100,50,0: Stench 1: Sticky Hold H: Poison Touch,1.2,30,Purple,Grimer,38,None
89,Muk-Alola,Poison,Dark,0.5,0.5,105,105,75,65,100,50,0: Poison Touch 1: Gluttony H: Power of Alchemy,1,52,Green,Grimer-Alola,38,None
90,Shellder,Water,null,0.5,0.5,30,65,100,45,25,40,0: Shell Armor 1: Skill Link H: Overcoat,0.3,4,Purple,None,Base,Cloyster
91,Cloyster,Water,Ice,0.5,0.5,50,95,180,85,45,70,0: Shell Armor 1: Skill Link H: Overcoat,1.5,132.5,Purple,Shellder,Base,None
92,Gastly,Ghost,Poison,0.5,0.5,30,35,30,100,35,80,0: Levitate,1.3,0.1,Purple,None,Base,Haunter
93,Haunter,Ghost,Poison,0.5,0.5,45,50,45,115,55,95,0: Levitate,1.6,0.1,Purple,Gastly,25,Gengar
94,Gengar,Ghost,Poison,0.5,0.5,60,65,60,130,75,110,0: Cursed Body,1.5,40.5,Purple,Haunter,Base,None
95,Onix,Rock,Ground,0.5,0.5,35,45,160,30,45,70,0: Rock Head 1: Sturdy H: Weak Armor,8.8,210,Gray,None,Base,Steelix
96,Drowzee,Psychic,null,0.5,0.5,60,48,45,43,90,42,0: Insomnia 1: Forewarn H: Inner Focus,1,32.4,Yellow,None,Base,Hypno
97,Hypno,Psychic,null,0.5,0.5,85,73,70,73,115,67,0: Insomnia 1: Forewarn H: Inner Focus,1.6,75.6,Yellow,Drowzee,26,None
98,Krabby,Water,null,0.5,0.5,30,105,90,25,25,50,0: Hyper Cutter 1: Shell Armor H: Sheer Force,0.4,6.5,Red,None,Base,Kingler
99,Kingler,Water,null,0.5,0.5,55,130,115,50,50,75,0: Hyper Cutter 1: Shell Armor H: Sheer Force,1.3,60,Red,Krabby,28,None
100,Voltorb,Electric,null,0.5,0.5,40,30,50,55,55,100,0: Soundproof 1: Static H: Aftermath,0.5,10.4,Red,None,Base,Electrode
100,Voltorb-Hisui,Electric,Grass,0.5,0.5,40,30,50,55,55,100,0: Soundproof 1: Static H: Aftermath,0.5,13,Red,None,Base,Electrode-Hisui
101,Electrode,Electric,null,0.5,0.5,60,50,70,80,80,150,0: Soundproof 1: Static H: Aftermath,1.2,66.6,Red,Voltorb,30,None
101,Electrode-Hisui,Electric,Grass,0.5,0.5,60,50,70,80,80,150,0: Soundproof 1: Static H: Aftermath,1.2,71,Red,Voltorb-Hisui,Base,None
102,Exeggcute,Grass,Psychic,0.5,0.5,60,40,80,60,45,40,0: Chlorophyll H: Harvest,0.4,2.5,Pink,None,Base,Exeggutor
103,Exeggutor,Grass,Psychic,0.5,0.5,95,95,85,125,75,55,0: Chlorophyll H: Harvest,2,120,Yellow,Exeggcute,Base,None
103,Exeggutor-Alola,Grass,Dragon,0.5,0.5,95,105,85,125,75,45,0: Frisk H: Harvest,10.9,415.6,Yellow,Exeggcute,Base,None
104,Cubone,Ground,null,0.5,0.5,50,50,95,40,50,35,0: Rock Head 1: Lightning Rod H: Battle Armor,0.4,6.5,Brown,None,Base,Marowak
105,Marowak,Ground,null,0.5,0.5,60,80,110,50,80,45,0: Rock Head 1: Lightning Rod H: Battle Armor,1,45,Brown,Cubone,28,None
105,Marowak-Alola,Fire,Ghost,0.5,0.5,60,80,110,50,80,45,0: Cursed Body 1: Lightning Rod H: Rock Head,1,34,Purple,Cubone,28,None
106,Hitmonlee,Fighting,null,0.5,0.5,50,120,53,35,110,87,0: Limber 1: Reckless H: Unburden,1.5,49.8,Brown,Tyrogue,20,None
107,Hitmonchan,Fighting,null,0.5,0.5,50,105,79,35,110,76,0: Keen Eye 1: Iron Fist H: Inner Focus,1.4,50.2,Brown,Tyrogue,20,None
108,Lickitung,Normal,null,0.5,0.5,90,55,75,60,75,30,0: Own Tempo 1: Oblivious H: Cloud Nine,1.2,65.5,Pink,None,Base,Lickilicky
109,Koffing,Poison,null,0.5,0.5,40,65,95,60,45,35,0: Levitate 1: Neutralizing Gas H: Stench,0.6,1,Purple,None,Base,Weezing
110,Weezing,Poison,null,0.5,0.5,65,90,120,85,70,60,0: Levitate 1: Neutralizing Gas H: Stench,1.2,9.5,Purple,Koffing,35,None
110,Weezing-Galar,Poison,Fairy,0.5,0.5,65,90,120,85,70,60,0: Levitate 1: Neutralizing Gas H: Misty Surge,3,16,Gray,Koffing,35,None
111,Rhyhorn,Ground,Rock,0.5,0.5,80,85,95,30,30,25,0: Lightning Rod 1: Rock Head H: Reckless,1,115,Gray,None,Base,Rhydon
112,Rhydon,Ground,Rock,0.5,0.5,105,130,120,45,45,40,0: Lightning Rod 1: Rock Head H: Reckless,1.9,120,Gray,Rhyhorn,42,Rhyperior
113,Chansey,Normal,null,0.5,0.5,250,5,5,35,105,50,0: Natural Cure 1: Serene Grace H: Healer,1.1,34.6,Pink,Happiny,Base,Blissey
114,Tangela,Grass,null,0.5,0.5,65,55,115,100,40,60,0: Chlorophyll 1: Leaf Guard H: Regenerator,1,35,Blue,None,Base,Tangrowth
115,Kangaskhan,Normal,null,0.5,0.5,105,95,80,40,80,90,0: Early Bird 1: Scrappy H: Inner Focus,2.2,80,Brown,None,Base,None
116,Horsea,Water,null,0.5,0.5,30,40,70,70,25,60,0: Swift Swim 1: Sniper H: Damp,0.4,8,Blue,None,Base,Seadra
117,Seadra,Water,null,0.5,0.5,55,65,95,95,45,85,0: Poison Point 1: Sniper H: Damp,1.2,25,Blue,Horsea,32,Kingdra
118,Goldeen,Water,null,0.5,0.5,45,67,60,35,50,63,0: Swift Swim 1: Water Veil H: Lightning Rod,0.6,15,Red,None,Base,Seaking
119,Seaking,Water,null,0.5,0.5,80,92,65,65,80,68,0: Swift Swim 1: Water Veil H: Lightning Rod,1.3,39,Red,Goldeen,33,None
120,Staryu,Water,null,0.5,0.5,30,45,55,70,55,85,0: Illuminate 1: Natural Cure H: Analytic,0.8,34.5,Brown,None,Base,Starmie
121,Starmie,Water,Psychic,0.5,0.5,60,75,85,100,85,115,0: Illuminate 1: Natural Cure H: Analytic,1.1,80,Purple,Staryu,Base,None
122,Mr. Mime,Psychic,Fairy,0.5,0.5,40,45,65,100,120,90,0: Soundproof 1: Filter H: Technician,1.3,54.5,Pink,Mime Jr.,Base,None
122,Mr. Mime-Galar,Ice,Psychic,0.5,0.5,50,65,65,90,90,100,0: Vital Spirit 1: Screen Cleaner H: Ice Body,1.4,56.8,White,Mime Jr.,Base,Mr. Rime
123,Scyther,Bug,Flying,0.5,0.5,70,110,80,55,80,105,0: Swarm 1: Technician H: Steadfast,1.5,56,Green,None,Base,Scizor
124,Jynx,Ice,Psychic,0.5,0.5,65,50,35,115,95,95,0: Oblivious 1: Forewarn H: Dry Skin,1.4,40.6,Red,Smoochum,30,None
125,Electabuzz,Electric,null,0.75,0.25,65,83,57,95,85,105,0: Static H: Vital Spirit,1.1,30,Yellow,Elekid,30,Electivire
126,Magmar,Fire,null,0.75,0.25,65,95,57,100,85,93,0: Flame Body H: Vital Spirit,1.3,44.5,Red,Magby,30,Magmortar
127,Pinsir,Bug,null,0.5,0.5,65,125,100,55,70,85,0: Hyper Cutter 1: Mold Breaker H: Moxie,1.5,55,Brown,None,Base,None
128,Tauros,Normal,null,0.5,0.5,75,100,95,40,70,110,0: Intimidate 1: Anger Point H: Sheer Force,1.4,88.4,Brown,None,Base,None
128,Tauros-Paldea-Combat,Fighting,null,0.5,0.5,75,110,105,30,70,100,0: Intimidate 1: Anger Point H: Cud Chew,1.4,115,Black,None,Base,None
128,Tauros-Paldea-Blaze,Fighting,Fire,0.5,0.5,75,110,105,30,70,100,0: Intimidate 1: Anger Point H: Cud Chew,1.4,85,Black,None,Base,None
128,Tauros-Paldea-Aqua,Fighting,Water,0.5,0.5,75,110,105,30,70,100,0: Intimidate 1: Anger Point H: Cud Chew,1.4,110,Black,None,Base,None
129,Magikarp,Water,null,0.5,0.5,20,10,55,15,20,80,0: Swift Swim H: Rattled,0.9,10,Red,None,Base,Gyarados
130,Gyarados,Water,Flying,0.5,0.5,95,125,79,60,100,81,0: Intimidate H: Moxie,6.5,235,Blue,Magikarp,20,None
131,Lapras,Water,Ice,0.5,0.5,130,85,80,85,95,60,0: Water Absorb 1: Shell Armor H: Hydration,2.5,220,Blue,None,Base,None
132,Ditto,Normal,null,0.5,0.5,48,48,48,48,48,48,0: Limber H: Imposter,0.3,4,Purple,None,Base,None
133,Eevee,Normal,null,0.875,0.125,55,55,50,45,65,55,0: Run Away 1: Adaptability H: Anticipation,0.3,6.5,Brown,None,Base,Vaporeon
133,Eevee-Starter,Normal,null,0.875,0.125,65,75,70,65,85,75,0: Run Away 1: Adaptability H: Anticipation,0.3,6.5,Brown,None,Base,None
134,Vaporeon,Water,null,0.875,0.125,130,65,60,110,95,65,0: Water Absorb H: Hydration,1,29,Blue,Eevee,Base,None
135,Jolteon,Electric,null,0.875,0.125,65,65,60,110,95,130,0: Volt Absorb H: Quick Feet,0.8,24.5,Yellow,Eevee,Base,None
136,Flareon,Fire,null,0.875,0.125,65,130,60,95,110,65,0: Flash Fire H: Guts,0.9,25,Red,Eevee,Base,None
137,Porygon,Normal,null,0.5,0.5,65,60,70,85,75,40,0: Trace 1: Download H: Analytic,0.8,36.5,Pink,None,Base,Porygon2
138,Omanyte,Rock,Water,0.875,0.125,35,40,100,90,55,35,0: Swift Swim 1: Shell Armor H: Weak Armor,0.4,7.5,Blue,None,Base,Omastar
139,Omastar,Rock,Water,0.875,0.125,70,60,125,115,70,55,0: Swift Swim 1: Shell Armor H: Weak Armor,1,35,Blue,Omanyte,40,None
140,Kabuto,Rock,Water,0.875,0.125,30,80,90,55,45,55,0: Swift Swim 1: Battle Armor H: Weak Armor,0.5,11.5,Brown,None,Base,Kabutops
